Plot ID,Days Since May 1,Percent Live Plant,Percent Bare Ground,Percent Litter,Live Vegetation Height,Standing Dead Vegetation Height,Litter Depth,Robel Pole
N8,51,82,10,8,50.66666667,11.66666667,0.83333,7.0
N9,51,87,8,5,46.33333333,13.33333333,1.33333,6.2
N10,51,95,0,5,54.66666667,25,3,8.0
E1,51,74,1,25,54.33333333,0,2.33333,7.8
E2,51,90,0,10,43,2.666666667,1.83333,5.2
E3,51,85,0,15,60.33333333,0,1,9.8
E4,51,50,0,50,59,0,0.83333,10.0
E5,51,80,0,20,62.33333333,0,1.66667,9.2
E6,51,80,5,15,45.33333333,0,2,6.5
E7,51,85,5,10,36,4,2.16667,5.5
E8,51,80,0,20,53.33333333,0,1.5,
E9,51,90,0,10,49,0,1.33333,6.8
E10,51,83,2,15,47,4,5.66667,6.8
N1,70,97,0,3,64.33333333,5.666666667,0.83333,8.5
N2,70,91,0,9,68.66666667,11.33333333,0.9,7.2
N3,70,98,0,2,64,18,1.16667,8.5
N4,70,95,0,5,61.33333333,17.66666667,0.66667,7.8
N5,70,83,0,17,62.33333333,19.66666667,0.16667,9.5
N6,70,95,0,5,67.66666667,25.66666667,0.83333,8.8
N7,70,85,0,15,66,27.66666667,1.16667,9.5
N8,70,68,2,30,54.33333333,16.66666667,1.5,7.2
N9,70,90,0,10,59.33333333,23,1,7.0
N10,70,74,23.33333333,0.83333,11.0
E1,70,75,0,25,59,16,1,12.2
E2,70,70,0,30,45,14,0.66667,6.8
E3,70,57,2,45,70,13.66666667,1.66667,13.2
E4,71,45,0,55,79.33333333,12.66666667,4.16667,16.5
E5,71,60,0,40,82.33333333,0,1.5,6.0
E6,71,65,2,33,55,3.333333333,0.5,9.0
E7,71,65,15,20,43.33333333,0,0.33333,4.2
E8,71,65,5,30,82,6.666666667,1.83333,9.5
E9,71,80,0,20,67.66666667,15,1.83333,9.0
E10,71,50,0,50,67.66666667,17,2.16667,6.5
N1,79,90,0,10,62.66666667,0,0.5,8.2
N2,79,85,0,15,59.33333333,13.33333333,0.5,8.5
N3,79,92,0,8,66.33333333,16,1,9.0
N4,79,85,0,15,61.33333333,3.666666667,0.5,10.0
N5,79,65,0,35,69.33333333,10.66666667,0.33333,9.8
N6,79,80,0,20,74.33333333,9,0.66667,9.8
N7,79,60,0,40,59,6,0.83333,10.0
N8,79,77,8,15,60,10.33333333,0.33333,8.0
N9,79,75,5,20,61,5.666666667,0.33333,7.2
N10,79,90,0,10,65.33333333,5.333333333,1,11.0
E1,79,50,0,50,90.66666667,8.333333333,1,13.5
E2,79,65,5,30,66.33333333,0.666666667,0.33333,5.0
E3,79,80,2,18,80,6.666666667,0.83333,12.5
E4,79,45,0,55,89.33333333,10,5,15.0
E5,79,50,0,50,89,14.33333333,1,12.5
E6,79,65,5,40,76.33333333,12,0,9.2
E7,79,70,20,10,77,3.666666667,0.33333,7.2
E8,79,70,0,30,84.66666667,7.666666667,1.5,11.5
E9,79,15,0,85,82,9.333333333,0.66667,9.8
E10,79,65,35,48.66666667,8.333333333,2,8.5
N1,98,80,10,10,71,3.666666667,0.66667,9.8
N2,98,85,8,7,62,3.333333333,0.66667,9.5
N3,98,85,5,10,58.33333333,8,1,9.0
N4,98,80,5,15,73.66666667,10,8.33333,11.2
N5,98,70,5,25,70.66666667,9,0.66667,12.0
N6,98,75,5,20,67.66666667,19.33333333,1,9.0
N7,98,75,0,25,75.66666667,11,3,12.0
N8,98,65,15,20,73.33333333,0,0.66667,9.5
N9,98,65,20,15,50.33333333,2.666666667,0.33333,8.8
N10,98,80,0,20,79.66666667,2.666666667,4,12.5
E1,99,40,0,60,112.3333333,0,6,13.2
E2,99,50,0,50,50,0,4.66667,6.8
E3,99,105,0,2,17.5
E4,99,40,0,60,119,0,3.66667,21.5
E5,99,50,0,50,94.66666667,0,1.66667,17.8
E6,99,57,8,35,84.33333333,0,1.66667,13.2
E7,99,60,20,20,100.6666667,0,0,8.2
E8,99,70,0,30,111,0,1,14.2
E9,99,65,0,35,118.3333333,0,1.33333,12.5
E10,99,75,5,20,63,0,1.33333,9.0
N1,108,92,0,0,82.33333333,2,0.16667,10.8
N2,108,90,5,5,67.33333333,6,0,11.5
N3,108,95,0,5,60.66666667,3.666666667,0.16667,10.8
N4,108,95,2,3,63.33333333,0,0,10.8
N5,108,85,10,5,67.66666667,10,0,12.8
N6,108,88,7,5,70.66666667,1.666666667,0.16667,10.0
N7,108,75,0,25,86.66666667,0,0.33333,12.8
N8,108,65,25,10,82.66666667,3,0.5,9.8
N9,108,65,30,5,73.33333333,5,0,9.0
N10,108,90,0,10,95.66666667,16.33333333,1,14.0
E1,108,45,0,55,93.33333333,3.666666667,0.5,12.5
E2,108,58,3,39,71.33333333,4.666666667,0.66667,10.0
E3,108,50,0,50,112.3333333,3,0.5,16.2
E4,108,50,0,50,112.3333333,4,2.66667,19.2
E5,108,20,0,80,96.66666667,5.666666667,1.16667,17.0
E6,111,70,25,5,65.66666667,7.333333333,0.5,15.8
E7,111,65,30,10,59.33333333,0,0.16667,10.0
E8,111,65,3,32,100,0,0.33333,14.5
E9,111,63,2,35,91.33333333,7.333333333,1.16667,15.8
E10,111,68,2,30,98.66666667,1.333333333,0.5,9.0
